"","x"
"ODF_INJ_3_HCV",0
"MET_NI_1_COI",0.00114
"METC_NI_1_COI",0.00114
"BUP_NI_1_COI",0.00114
"BUPC_NI_1_COI",0.00114
"ABS_NI_1_COI",0
"REL_NI_1_COI",0
"ODN_NI_1_COI",0
"ODF_NI_1_COI",0
"MET_INJ_1_COI",0.00136
"METC_INJ_1_COI",0.00136
"BUP_INJ_1_COI",0.00136
"BUPC_INJ_1_COI",0.00136
"ABS_INJ_1_COI",0
"REL_INJ_1_COI",0
"ODN_INJ_1_COI",0
"ODF_INJ_1_COI",0
"MET_NI_2_COI",0
"METC_NI_2_COI",0
"BUP_NI_2_COI",0
"BUPC_NI_2_COI",0
"ABS_NI_2_COI",0
"REL_NI_2_COI",0
"ODN_NI_2_COI",0
"ODF_NI_2_COI",0
"MET_INJ_2_COI",0
"METC_INJ_2_COI",0
"BUP_INJ_2_COI",0
"BUPC_INJ_2_COI",0
"ABS_INJ_2_COI",0
"REL_INJ_2_COI",0
"ODN_INJ_2_COI",0
"ODF_INJ_2_COI",0
"MET_NI_3_COI",0
"METC_NI_3_COI",0
"BUP_NI_3_COI",0
"BUPC_NI_3_COI",0
"ABS_NI_3_COI",0
"REL_NI_3_COI",0
"ODN_NI_3_COI",0
"ODF_NI_3_COI",0
"MET_INJ_3_COI",0
"METC_INJ_3_COI",0
"BUP_INJ_3_COI",0
"BUPC_INJ_3_COI",0
"ABS_INJ_3_COI",0
"REL_INJ_3_COI",0
"ODN_INJ_3_COI",0
"ODF_INJ_3_COI",0
